MEP,GP,EHW,IB,POSDB,NGP,SNUS
Zofija MAZEJ KUKOVlt,,,,,,
"ZVER, Milan",[GREEN],[GREEN],,,,
Ayala Sender,,,,,,
Ayuso,[GREEN],[GREEN],[GREEN],[GREEN],,
Badia Cutchet,,,,,,
Barea Andres,,,,,,
Bilbao,,,,,,
Cercas,[GREEN],[GREEN],[GREEN],[GREEN],,
Correa Zamora,[GREEN],[GREEN],[GREEN],[GREEN],,
de Grandes Pascual,[GREEN],[GREEN],[GREEN],[GREEN],,
Diaz de Mera,,,,,,
Echeverría,[GREEN],[GREEN],[GREEN],[GREEN],,
Estaras Ferragut,[GREEN],[GREEN],[GREEN],[GREEN],,
Fisa Ayxela,,,,,,
Fraga Estevez,[GREEN],[GREEN],[GREEN],[GREEN],,
Garces Ramón,,,,,,
García Caraballo,,,,,,
Garcia Perez,,,,,,
Gardiazab al Rubiai,,,,,,
Garriga Polledo,[GREEN],[GREEN],[GREEN],[GREEN],,
Gurrero Salom,,,,,,
Gutierrez Cortines,,,,,,
Gutierrez Prieto,[GREEN],[GREEN],[GREEN],[GREEN],,
Herranz Garcia,[GREEN],[GREEN],[GREEN],[GREEN],,
Irigoyen Perez,[GREEN],[GREEN],[GREEN],[GREEN],,
Iturgaiz Angulo,[GREEN],[GREEN],,[GREEN],,
Jimenez Becerril,[GREEN],[GREEN],[GREEN],[GREEN],,
Lastra Cortes,,,,,,
Lope Fontagne,,,,,,
Lopez Aguilar,,,,,,
Lopez White,[GREEN],[GREEN],[GREEN],[GREEN],,
Martinez Martinz,,,,,,
Masip Hidalgo,[GREEN],[GREEN],[GREEN],[GREEN],,
Mato Androver,[GREEN],[GREEN],[GREEN],[GREEN],,
Mayor Oreja,,,,,,
Menendez del Valle,,,,,,
Meyer Pleite,,,,,,
Millan Mon,,,,,,
Miranda,,,,,,
Muniz de Urquiza,,,,,,
Naranjo Escobar,[GREEN],[GREEN],[GREEN],[GREEN],,
Obiols I Germa,,,,,,
Ortiz Vilella,[GREEN],[GREEN],[GREEN],[GREEN],,
Perrello Rodriguez,[RED],[RED],[RED],[RED],,
Riera Madurell,,,,,,
Romero Lopez,,,,,,
Romeva Rueda,,,,,,
Salafranca,,,,,,
Sanchez Presedo,[GREEN],,[GREEN],[GREEN],,
Sedo I Alabart,,,,,,
SOSA Wagner,[GREEN],[GREEN],[GREEN],[GREEN],,
Tremosa I Balcells,,,,,,
Vera del Castillo,,,,,,
Vidal Quadras,[GREEN],[GREEN],[GREEN],[GREEN],,
Yanez Garcia,,,,,,
Zalba Bidegain,[GREEN],[GREEN],[GREEN],[GREEN],,
"ANDERSDOTTER, Amelia",,,,,,
"CORAZZA BILDT, Anna Marla",[GREEN],[GREEN],[GREEN],[GREEN],[GREEN],[GREEN]
"ENGSTROM, Christian",[GREEN],[GREEN],,[GREEN],[GREEN],[GREEN]
"FARM, Goran",,,,,,
"FJELLNER, Christofer",[GREEN],[GREEN],[GREEN],[GREEN],[GREEN],[GREEN]
"GUSTAFSSON, Mikael",[RED],[RED],[RED],[RED],[RED],[RED]
"HEDH, Anna",,,,,,
"HÖKMARK, Gunnar",[GREEN],[GREEN],[GREEN],[GREEN],[GREEN],[GREEN]
"IBRISAGIC, Anna",,,,,,
Kent Johansson,,,,,,
"LOVIN, Isabella",,,,,,
"LUDVIGSSON, Olle",,,,,,
"PAULSEN, Marit",,,,,,[GREEN]
"SCHLYTER, Carl",[RED],,,[RED],[GREEN],[GREEN]
"SCHMIDT, Olle",,,,,,[GREEN]
"SVENSSON, Alf",,,,,,
"SVENSSON, Eva-Britt",,,,,,
"ULVSKOG, Marita",[RED],[RED],,[RED],,
"WESTLUND, Asa",[RED],[RED],,[RED],,[GREEN]
"WIKSTRÖM, Cecilia",,,,,,
"COLMAN, Bernard Trevor",,,,,,
"AGNEW, John Stuart",,,,,,
"ANDREASEN, Marta",,,,,,
Anthea McIntyre,[GREEN],[GREEN],[GREEN],[GREEN],,
"ASHWORTH, Richard James",[GREEN],[RED],[GREEN],[GREEN],,
"Baroness LUDFORD, Sarah",,,,,,
"BATTEN, Gerard",,,,,,
"BEARDER, Catherine",,,,,,
"BLOOM, Godfrey",,,,,,
"BOWLES, Sharon",,,,,,
"BRADBOURN, Philip",[GREEN],[GREEN],[GREEN],[GREEN],[GREEN],[RED]
"BRONS, Andrew",,,,,,
"BUFTON, John",,,,,,
"CALLANAN, Martin",,,,,,
"CAMPBELL BANNERMAN, D3vid",,,,,,
"CASHMAN, Michael",,,,,,
"CHICHESTER, Giles",,,,,,
"CLARK, Derek Roland",,,,,,
"DAVIES, Chris",,,,,,
"DEVA, Nlrj",,,,,,
"DODDS, Diane",,,,,,
"DUFF, Andrew",,,,,,
"Earl of DARTMOUTH, William",,,,,,
"ELLES, James",,,,,,
"EVANS, Jill",,,,,,
"FARAGE, Nigel",,,,,,
"FORD, Vicky",,,,,,
"FOSTER, Jacqueline",,,,,,
"FOX, Ashley",,,,,,
"GIRLING, Julie",[GREEN],[GREEN],[RED],[RED],,
"GRIFFIN, Nick",,,,,,
"HALL, Fiona",,,,,,
"HANNAN, Daniel",,,,,,
"HARBOUR, Malcolm",[GREEN],[GREEN],[RED],[RED],[GREEN],[RED]
"HELMER, Roger",,,,,,
"HONEYBALL, Mary",,,,,,
"HOWirr, Richard",,,,,,
"HUDGHTON, Ian",,,,,,
"HUGHES, Stephen",,,,,,
"KAMALL, Syed",[GREEN],[GREEN],[RED],[RED],,
"KARIM, Sajjad",,,,,,
"KIRKHOPE, Timothy",[GREEN],[GREEN],[GREEN],[RED],,
"LAMBERT, Jean",,,,,,
"LYON, George",,,,,,
"MARTIN, David",,,,,,
"McAVAN, Linda",[RED],[RED],[RED],[RED],[RED],[RED]
"McCarthy, Arlene",[RED],[RED],[RED],[RED],[RED],[RED]
"McCLARKIN, Emma",[GREEN],[GREEN],[GREEN],[GREEN],[GREEN],
"McMILLAN-SCOTT, Edward",,,,,,
"MORAES, Claude",,,,,,
"NATTRASS, Michael Henry",,,,,,
"NEWTON DUNN, Bill",,,,,,
"NICHOLSON, James",[GREEN],[GREEN],[GREEN],[GREEN],[GREEN],
"NUTTALL, Paul",,,,,,
Phil Bennion,,,,,,
Rebecca Taylor,[RED],[RED],[RED],[RED],[RED],[RED]
"SIMPSON, Brian",,,,,,
"SINCLAIRE, Nicole",,,,,,
"Sir ATKINS, Robert",[GREEN],[RED],[GREEN],[GREEN],[GREEN],
"SKINNER, Peter",,,,,,
"SMITH, Alyn",,,,,,
"STEVENSON, Struan",[RED],[GREEN],[RED],[GREEN],,
STIHLER Catherine,[RED],[RED],[RED],[RED],[RED],[RED]
"STURDY, Robert",[RED],[GREEN],[GREEN],[RED],,
"SWINBURNE, Kay",,,,,,
TANNOCK Charles,,,,,,
TAYLOR Keith,,,,,,
"VAN ORDEN, Geoffrey",,,,,,
"VAUGHAN, Derek",,,,,,
"WATSON, Graham",,,,,,
"WILLMOTT, Glenis",[RED],[RED],[RED],[RED],[RED],[RED]
"YANNAKOUDAKIS, Marina",[RED],[GREEN],[GREEN],[GREEN],[GREEN],
